unique_values,counts
"['Drug - ChemicalSubstance - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - Protein - BiologicalProcess - Cell - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Cell - Disease']",2
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - Pathway - BiologicalProcess - Disease']",2
"['Drug - Protein - BiologicalProcess - OrganismTaxon - Disease', 'Drug - GeneFamily - BiologicalProcess - OrganismTaxon - Disease']",2
['Drug - Protein - MolecularActivity - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease'],2
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Pathway - Disease']",2
"['Drug - Protein - Pathway - BiologicalProcess - Disease', 'Drug - GeneFamily - Pathway - BiologicalProcess - Disease']",2
"['Drug - Protein - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease']",2
"['Drug - BiologicalProcess - Disease', 'Drug - BiologicalProcess - PhenotypicFeature - Disease']",2
['Drug - Protein - CellularComponent - MolecularActivity - BiologicalProcess - Disease'],2
['Drug - ChemicalSubstance - Protein - BiologicalProcess - PhenotypicFeature - GrossAnatomicalStructure - Disease'],2
['Drug - ChemicalSubstance - Cell - BiologicalProcess - OrganismTaxon - Disease'],2
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - MolecularActivity - BiologicalProcess - PhenotypicFeature - Disease']",2
"['Drug - ChemicalSubstance - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease']",2
"['Drug - Protein - BiologicalProcess - Cell - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease']",2
['Drug - Protein - MolecularActivity - Cell - BiologicalProcess - Disease'],2
['Drug - ChemicalSubstance - Protein - BiologicalProcess - Cell - Disease'],2
"['Drug - Protein - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - GeneFamily - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - GeneFamily - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease']",2
"['Drug - GeneFamily - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease']",2
"['Drug - Protein - GeneFamily - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - Protein - GeneFamily - ChemicalSubstance - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - GeneFamily - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - GeneFamily - ChemicalSubstance - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - GrossAnatomicalStructure - Disease']",2
